name,hd,ra,dec,vmag,class
SAO 258895,,324.720871,-87.712733, 9.7,STAR
SAO 258484,,113.349483,-87.196283, 9.1,STAR
SAO 258413,,77.415604,-87.053436, 9.2,STAR
SAO 258447,,94.510654,-86.783017, 9.1,STAR
SAO 258549,,146.132142,-86.694703, 9.4,STAR
SAO 258939,,340.905417,-86.247761, 9.0,STAR
SAO 258893,,322.794658,-86.145553, 9.0,STAR
SAO 258712,,226.211,-85.903531, 9.1,STAR
SAO 258689,,212.679108,-85.836389, 9.1,STAR
SAO 258332,,46.959625,-85.817839, 9.1,STAR
SAO 258220,,3.930117,-85.742333, 9.8,STAR
SAO 258254,,15.907008,-85.700625, 9.3,STAR
SAO 258813,,284.537696,-85.550517, 9.1,STAR
SAO 258550,,147.452817,-85.545411, 9.0,STAR
SAO 258806,,283.050037,-85.487128, 9.0,STAR
SAO 258947,,343.393808,-85.410769, 9.8,STAR
SAO 258212,,1.711413,-85.374994, 9.2,STAR
SAO 258732,,236.633412,-85.274644, 9.0,STAR
SAO 258680,,208.768675,-85.238364, 9.4,STAR
SAO 258987,,357.867712,-85.236203, 9.0,STAR
SAO 258707,,224.124283,-85.212594, 9.0,STAR
SAO 258765,,262.186542,-85.169758, 9.2,STAR
SAO 258222,,4.869596,-85.083317, 9.0,STAR
SAO 258684,,210.552021,-85.032289, 8.9,STAR
SAO 258390,,70.240112,-84.992686, 9.2,STAR
SAO 258392,,70.893625,-84.811978, 8.6,STAR
SAO 258463,,104.977775,-84.798031, 9.0,STAR
SAO 258558,,150.238362,-84.785786, 9.2,STAR
SAO 258375,,63.567858,-84.779322, 9.2,STAR
SAO 258279,,26.127779,-84.775497, 8.7,STAR
SAO 258920,,331.272896,-84.731528, 9.2,STAR
SAO 258988,,357.914575,-84.71915, 9.7,STAR
SAO 258264,,20.436321,-84.685492, 9.1,STAR
SAO 258539,,143.329746,-84.680264, 9.1,STAR
SAO 258228,,7.325833,-84.645325, 9.3,STAR
SAO 258506,,130.8883,-84.610694, 8.9,STAR
SAO 258226,,6.714783,-84.530039, 9.0,STAR
SAO 258979,,354.9734,-84.526514, 9.4,STAR
SAO 258416,,80.474808,-84.400903, 9.2,STAR
SAO 258652,,193.271933,-84.278131, 8.8,STAR
SAO 258728,,232.431087,-84.197033, 9.1,STAR
SAO 258357,,57.197275,-84.185353, 9.4,STAR
SAO 258629,,179.514283,-84.127069, 9.4,STAR
SAO 258249,,15.178187,-84.089594, 9.0,STAR
SAO 258564,,151.390746,-84.089264, 8.3,STAR
SAO 258665,,201.521271,-84.0714, 9.8,STAR
SAO 258269,,23.732554,-84.068861, 9.1,STAR
SAO 258371,,63.477958,-84.039603, 9.0,STAR
SAO 258604,,167.480592,-83.973622, 9.1,STAR
SAO 258959,,347.897783,-83.967153, 8.8,STAR
