#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2021-09-28T14:34:31 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
# https://vizier.u-strasbg.fr/viz-bin/VizieR-4
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ615326603ea099	
#INFO	-out.max=99999	
#INFO	queryParameters=21	
#-oc.form=dec
#-out.max=99999
#-order=I
#-nav=cat:IV/22&tab:{IV/22/index}&key:source=IV/22/index&HTTPPRM:&&-ref=VIZ615326603ea099&-out.max=99999&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=IV/22/index&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=FK5&-out=RAJ2000&-out=pmRA&-out=DEJ2000&-out=pmDE&-out=Vmag&-out=Sp&-out=DM&-out=SAO&-out=HD&-out=name&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=IV/22/index
#-source=IV/22/index
#-out=FK5
#-out=RAJ2000
#-out=pmRA
#-out=DEJ2000
#-out=pmDE
#-out=Vmag
#-out=Sp
#-out=DM
#-out=SAO
#-out=HD
#-out=name
#

#RESOURCE=yCat_4022
#Name: IV/22
#Title: FK5 - SAO - HD - Common Name Cross Index (Smith 1996)
#Table	IV_22_index:
#Name: IV/22/index
#Title: The catalog
#Column	FK5	(I4)	The FK5 number (Cat. I/149, I/175) (2)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A12)	Right Ascension hours (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	pmRA	(F7.3)	Proper motion in right ascension	[ucd=pos.pm;pos.eq.ra]
#Column	DEJ2000	(A12)	Declination degrees (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmDE	(F7.2)	Proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	Vmag	(F5.2)	Visual magnitude	[ucd=phot.mag;em.opt.V]
#Column	Sp	(A2)	Spectral type	[ucd=src.spType]
#Column	DM	(a10)	Durchmusterung Identification (1)	[ucd=meta.id]
#Column	SAO	(I6)	? SAO number (Cat. I/131) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	HD	(I6)	? HD number (Cat. III/135) [NULL integer written as an empty string]	[ucd=meta.id]
#Column	name	(a20)	Common name or variable name	[ucd=meta.id]
FK5|RAJ2000|pmRA|DEJ2000|pmDE|Vmag|Sp|DM|SAO|HD|name
 |"h:m:s"|10ms/yr|"d:m:s"|10mas/yr|mag| | | | |
----|------------|-------|------------|-------|-----|--|----------|------|------|--------------------
 904|00 01 35.659| -1.877|-77 03 56.56| -17.69| 4.78|K0|CP-77 1596|258207|224889|
1630|00 01 57.631|  0.342|-06 00 50.70|  -4.11| 4.41|M3|SD-06 6345|147042|224935|
 905|00 03 44.391|  0.184|-17 20 09.59|  -0.91| 4.55|A0|BD-18 6417|147059|225132|
1001|00 04 41.294|  0.576|-71 26 12.84|  -1.44| 5.59|B9|CP-72 2800|255631|225253|
1002|00 05 20.144| -0.058|-05 42 27.41|   8.87| 4.61|K0|SD-06 6357|128572|    28|
1003|00 06 50.100|  0.728|-23 06 27.18|  -4.51| 6.18|F0|CD-23    4|166053|   203|
   1|00 08 23.265|  1.039|+29 05 25.58| -16.33| 2.06|A0|BD+28    4| 73765|   358|ALPHERATZ
   2|00 09 10.695|  6.827|+59 08 59.18| -18.09| 2.27|F5|BD+58    3| 21133|   432|CAPH
   3|00 09 24.659|  1.186|-45 44 50.79| -18.11| 3.88|K0|CD-46   18|214983|   496|
   4|00 10 19.257|  0.074|+46 04 20.21|   0.03| 5.03|F0|BD+45   17| 36123|   571|
   5|00 11 34.437|  0.079|-27 47 59.12|   1.65| 5.42|K0|CD-28   26|166103|   720|
   6|00 11 44.014|  1.412|-35 07 59.17|  11.86| 5.25|F5|CD-35   42|192388|   739|
1655|00 12 33.926|  3.282|-88 21 46.56|  -0.22| 7.26|A0|CP-89    1|258218|  1348|
   7|00 13 14.154|  0.019|+15 11 00.80|  -1.20| 2.83|B2|BD+14   14| 91781|   886|ALGENIB
1004|00 14 36.169|  0.660|+20 12 24.06|   0.00| 4.80|M0|BD+19   27| 91792|  1013|
1005|00 18 19.666| -0.525|+36 47 06.92|  -4.12| 4.52|A2|BD+35   44| 53798|  1404|
1006|00 18 38.264|  0.451|+31 31 01.96|  -0.65| 5.87|A0|BD+30   35| 53803|  1439|
   9|00 19 25.674| -0.093|-08 49 26.14|  -3.61| 3.56|K0|SD-09   48|128694|  1522|
1007|00 20 02.973|  0.298|-17 42 01.67|  -0.76| 6.72|K0|BD-18   41|147221|  1588|
  10|00 20 04.251| 26.778|-64 52 29.25| 116.39| 4.23|F8|CP-65   13|248163|  1581|
1008|00 20 35.867| -0.013|+08 11 24.86|   0.82| 5.37|K0|BD+07   36|109152|  1635|
1009|00 21 07.277|  0.504|+37 58 06.95|  -3.98| 5.18|F5|BD+37   45| 53828|  1671|
1010|00 25 24.213| -0.087|+01 56 22.71|  -1.52| 5.77|G5|BD+01   57|109192|  2114|
  11|00 25 45.056| 66.919|-77 15 15.40|  32.37| 2.80|G0|CP-77   16|255670|  2151|
  12|00 26 17.030|  1.833|-42 18 21.81| -39.57| 2.39|K0|CD-42  116|215093|  2261|ANKAA
1011|00 28 00.560|  0.283|-11 39 31.74|  -1.37| 7.25|M3|BD-12   72|147289|  2438|
1012|00 28 12.706|  0.130|+16 26 42.16|  -1.45| 6.06|K2|BD+15   63| 91912|  2436|
  13|00 30 02.362|  0.074|-03 57 26.39|  -1.23| 5.72|K5|SD-04   54|128791|  2637|
  14|00 30 22.661| -0.177|-23 47 15.72|   1.27| 5.19|A3|CD-24  179|166318|  2696|
  15|00 31 24.988|  1.449|-48 48 12.67|   1.75| 4.77|A2|CD-49  115|215131|  2834|
  16|00 32 59.982|  0.044|+62 55 54.40|  -0.33| 4.16|B0|BD+62  102| 11256|  2905|
1013|00 33 41.051| -0.201|-29 33 29.98|  -3.00| 5.55|K0|CD-30  156|166367|  3059|
1014|00 34 27.834|  2.508|-52 22 23.32|   3.22| 5.57|F5|CP-53  117|232091|  3158|
  18|00 36 52.858|  0.124|+33 43 09.63|  -0.40| 4.36|B3|BD+32  101| 54033|  3369|
  17|00 36 58.291|  0.219|+53 53 48.92|  -0.91| 3.66|B3|BD+53  105| 21566|  3360|
  19|00 38 33.350| -1.739|+29 18 42.30| -25.41| 4.37|G5|BD+28  103| 74164|  3546|
  20|00 39 19.697|  1.060|+30 51 39.43|  -9.15| 3.27|K2|BD+30   91| 54058|  3627|
  21|00 40 30.450|  0.636|+56 32 14.46|  -3.19| 2.23|K0|BD+55  139| 21609|  3712|SCHEDAR
1015|00 41 19.577| -0.132|-46 05 06.01|  -0.15| 4.59|K0|CD-46  180|215194|  3919|
1016|00 42 37.532|  0.071|-36 01 19.88|   1.05| 7.06|M0|CD-36  241|192689|  4053|
  23|00 43 21.223| -0.078|-57 27 47.05|   1.12| 4.36|A0|CP-58   42|232162|  4150|
  22|00 43 35.372|  1.637|-17 59 11.82|   3.25| 2.04|K0|BD-18  115|147420|  4128|DIPHDA; DENEB KAITOS
  26|00 44 12.095|  2.077|-38 25 18.28|  11.28| 5.90|K0|CD-39  181|192703|  4211|
  25|00 44 43.524|  0.195|+48 17 03.73|  -0.80| 4.54|B2|BD+47  183| 36620|  4180|
1017|00 44 57.061| -0.777|-42 40 35.90| -10.17| 5.94|A5|CD-43  207|215221|  4293|
  24|00 45 39.044| -0.458|+74 59 16.93|  -2.55| 5.66|A2|BD+74   27|  4216|  4161|
  27|00 47 20.330| -0.731|+24 16 01.76|  -8.30| 4.06|K0|BD+23  106| 74267|  4502|
1018|00 48 01.075|  0.199|-21 43 21.09|  -1.12| 5.57|B9|SD-22  134|166585|  4622|
1019|00 48 22.980|  5.072|+05 16 49.90|-114.55| 5.75|G5|BD+04  123|109471|  4628|96 G  PSC
  31|00 48 35.395|  3.330|-74 55 24.25|  -3.30| 5.07|K5|CP-75   64|255710|  4815|
  28|00 48 40.950|  0.572|+07 35 06.14|  -5.24| 4.43|K5|BD+06  107|109474|  4656|
1020|00 48 58.705| -0.021|+16 56 26.19| -20.35| 5.07|F5|BD+16   76| 92099|  4676|
1021|00 49 48.849|  0.199|+41 04 44.07|  -1.94| 4.53|B3|BD+40  171| 36699|  4727|
  30|00 50 07.596| -1.531|-10 38 39.54| -22.87| 5.19|F5|BD-11  153|147470|  4813|
  29|00 50 43.603|  0.453|+64 14 51.15|  -1.23| 5.39|F2|BD+63   99| 11424|  4775|
1022|00 53 00.498|  0.053|-01 08 39.47|  -1.68| 4.77|K0|BD-01  114|129009|  5112|
  34|00 55 00.291|  0.115|-69 31 37.49|  -4.54| 5.45|K0|CP-70   40|248281|  5457|
  32|00 56 42.525|  0.355|+60 43 00.19|  -0.53| 1.60|B0|BD+59  144| 11482|  5394|
  33|00 56 45.215|  1.297|+38 29 57.60|   3.27| 3.87|A2|BD+37  175| 54281|  5448|
1023|00 57 50.154|  0.058|+28 59 31.93|  -0.81| 5.42|K0|BD+28  157| 74395|  5575|
  35|00 58 36.363|  0.166|-29 21 26.89|   0.37| 4.31|B5|CD-30  297|166716|  5737|
1024|00 58 45.758|  0.049|-05 52 58.21|  -8.16| 6.57|K0|SD-06  176|129056|  5720|
1025|01 01 38.654|  0.521|-16 15 55.98|  -8.72| 6.47|G5|BD-17  180|147572|  6037|
1027|01 02 01.814|  0.071|-57 00 08.65|   1.47| 6.11|K0|CP-57  220|232268|  6192|
1026|01 02 26.435|  0.642|-31 33 07.40|   1.19| 5.50|A2|CD-32  410|192884|  6178|
  36|01 02 56.613| -0.527|+07 53 24.31|   2.25| 4.28|K0|BD+07  153|109627|  6186|
  37|01 03 49.022|  0.812|+01 22 00.46|  -4.20| 6.04|F0|BD+00  174|109643|  6288|
1028|01 05 05.353|  0.039|+14 56 46.04|   5.41| 5.68|F2|BD+14  163| 92230|  6397|
1029|01 06 07.724| -0.225|-23 59 33.07|  -4.09| 6.14|G5|CD-24  484|166799|  6559|
  39|01 07 18.653|  1.027|-61 46 31.04|  -1.22| 5.37|K0|CP-62   89|248324|  6793|
1031|01 07 47.857|  0.334|-41 29 13.07|   1.03| 5.21|A3|CD-42  391|215374|  6767|
1030|01 08 16.378| 39.717|+54 55 13.41|-159.57| 5.17|G5|BD+54  223| 22024|  6582|
  40|01 08 35.396|  1.474|-10 10 56.17| -13.83| 3.45|K0|BD-10  240|147632|  6805|
 906|01 08 44.740|  7.808|+86 15 25.49|  -1.21| 4.25|K0|BD+85   19|   181|  5848|
  42|01 09 43.931|  1.457|+35 37 13.95| -11.35| 2.06|M0|BD+34  198| 54471|  6860|MIRACH
1032|01 11 27.213|  0.271|+21 02 04.72|  -1.07| 4.66|K0|BD+20  172| 74544|  7087|
  43|01 11 39.629|  0.555|+30 05 22.70|  -3.51| 4.51|K0|BD+29  190| 74546|  7106|
  41|01 12 16.742|  3.403|+79 40 26.27|  -0.54| 5.64|A0|BD+78   34|  4341|  6798|
  44|01 12 45.433|  0.762|-37 51 23.49|  -3.37| 5.92|A5|CD-38  420|192980|  7312|
1033|01 13 43.887|  0.967|+07 34 31.16|  -5.55| 5.24|A5|BD+06  174|109739|  7344|
1034|01 17 47.956| -0.310|+03 36 51.89|  -2.46| 5.16|A2|BD+02  185|109793|  7804|
  45|01 19 27.994|  0.188|+27 15 50.52|  -1.33| 4.76|A2|BD+26  220| 74637|  7964|
1035|01 22 20.421|  0.309|+45 31 43.62|   0.86| 4.88|K0|BD+44  287| 37155|  8207|
1036|01 23 30.965| -0.096|-30 56 44.27|  -4.58| 5.84|K5|CD-31  562|193090|  8498|
  47|01 24 01.406| -0.532|-08 11 00.29| -21.85| 3.60|K0|SD-08  244|129274|  8512|
1037|01 24 48.686|  0.084|-02 50 55.13|  -3.04| 6.15|G5|SD-03  195|129280|  8599|
1038|01 25 05.295|  0.348|-64 22 10.15|  -1.89| 5.93|K5|CP-65  130|248381|  8810|
  48|01 25 48.959|  3.993|+60 14 06.96|  -5.11| 2.68|A5|BD+59  248| 22268|  8538|RUCHBAH
  46|01 25 56.018|  1.330|+68 07 48.05|   2.60| 4.74|K0|BD+67  123| 11751|  8491|
1039|01 26 41.671|  0.354|+19 14 25.36|  -6.12| 5.50|K0|BD+18  187| 92444|  8763|
1041|01 26 51.572|  0.109|-13 03 23.51|   0.92| 5.50|F0|BD-13  262|147812|  8829|
1040|01 27 39.357|  3.334|+45 24 24.24| -10.66| 4.83|F5|BD+44  307| 37228|  8799|
  49|01 28 21.942| -0.129|-43 19 05.66| -20.85| 3.41|K5|CD-43  449|215516|  9053|
1043|01 29 36.134|  0.405|-21 37 45.61|   0.57| 5.12|A0|SD-22  254|167086|  9132|
1042|01 31 13.756|  2.699|+70 15 52.56|  -7.69| 5.81|F5|BD+69  102|  4422|  9021|
1044|01 31 15.120|  1.442|-49 04 21.77|  15.14| 3.95|K0|CD-49  425|215536|  9362|
  50|01 31 29.013|  0.193|+15 20 44.81|  -0.55| 3.62|G5|BD+14  231| 92484|  9270|
  53|01 33 39.152| -1.152|-78 30 17.21| -13.64| 6.11|G5|CP-79   40|255794| 10042|
